time,open,high,low,close,tick_volume,spread,real_volume
2026-04-20 21:00:00+00:00,4806.55,4815.75,4806.55,4815.33,3756,30,0
2026-04-20 21:15:00+00:00,4815.32,4815.33,4811.78,4813.38,3547,30,0
2026-04-20 21:30:00+00:00,4813.33,4815.33,4810.9,4814.41,2858,30,0
2026-04-20 21:45:00+00:00,4814.42,4816.41,4813.1,4813.89,1960,31,0
2026-04-20 22:00:00+00:00,4813.87,4821.25,4813.76,4820.35,2231,30,0
2026-04-20 22:15:00+00:00,4820.34,4820.43,4816.08,4816.96,1841,30,0
2026-04-20 22:30:00+00:00,4816.98,4817.2,4810.24,4811.4,2608,30,0
2026-04-20 22:45:00+00:00,4811.44,4814.17,4811.1,4814.17,2559,30,0
2026-04-20 23:00:00+00:00,4814.17,4816.82,4812.76,4813.36,1116,30,0
2026-04-20 23:15:00+00:00,4813.52,4816.93,4812.15,4815.78,718,30,0
2026-04-20 23:30:00+00:00,4815.8,4817.22,4812.87,4816.57,1419,33,0
2026-04-20 23:45:00+00:00,4816.43,4821.8,4816.24,4820.51,1754,39,0
2026-04-21 01:00:00+00:00,4822.22,4832.39,4820.65,4828.88,3735,46,0
2026-04-21 01:15:00+00:00,4828.89,4833.08,4828.53,4828.81,1644,30,0
